Jahr,Altersgruppe,Bundesland,Einwohner
2000,0-65,Mecklenburg-Vorpommern,26029
2000,0-65,Niedersachsen,135893
2000,0-65,Nordrhein-Westfalen,310619
2000,0-65,Rheinland-Pfalz,66502
2000,0-65,Saarland,17116
2000,0-65,Sachsen,62709
2000,0-65,Sachsen-Anhalt,38333
2000,0-65,Schleswig-Holstein,50329
2000,0-65,Thüringen,34927
2000,0-65,Baden-Württemberg,190195
2000,0-65,Bayern,219239
2000,0-65,Berlin,65435
2000,0-65,Brandenburg,42749
2000,0-65,Bremen,11595
2000,0-65,Hamburg,34486
2000,0-65,Hessen,110334
2000,0-65,Mecklenburg-Vorpommern,28162
2000,0-65,Niedersachsen,138905
2000,0-65,Nordrhein-Westfalen,316803
2000,0-65,Rheinland-Pfalz,68715
2000,0-65,Saarland,17584
2000,0-65,Sachsen,66429
2000,0-65,Sachsen-Anhalt,40200
2000,0-65,Schleswig-Holstein,50576
2000,0-65,Thüringen,37482
2000,0-65,Baden-Württemberg,189702
2000,0-65,Bayern,218669
2000,0-65,Berlin,67614
2000,0-65,Brandenburg,45375
2000,0-65,Bremen,11390
2000,0-65,Hamburg,33435
2000,0-65,Hessen,110785
2000,0-65,Mecklenburg-Vorpommern,29995
2000,0-65,Niedersachsen,138421
2000,0-65,Nordrhein-Westfalen,317366
2000,0-65,Rheinland-Pfalz,69260
2000,0-65,Saarland,17941
2000,0-65,Sachsen,69501
2000,0-65,Sachsen-Anhalt,42134
2000,0-65,Schleswig-Holstein,49586
2000,0-65,Thüringen,38831
2000,0-65,Baden-Württemberg,192766
2000,0-65,Bayern,222468
2000,0-65,Berlin,68584
2000,0-65,Brandenburg,47702
2000,0-65,Bremen,11067
2000,0-65,Hamburg,33803
2000,0-65,Hessen,111967
2000,0-65,Mecklenburg-Vorpommern,31456
2000,0-65,Niedersachsen,139048
2000,0-65,Nordrhein-Westfalen,321616
2000,0-65,Rheinland-Pfalz,70798
2000,0-65,Saarland,18383
2000,0-65,Sachsen,72475
2000,0-65,Sachsen-Anhalt,43915
2000,0-65,Schleswig-Holstein,49649
2000,0-65,Thüringen,40884
2000,0-65,Baden-Württemberg,190017
2000,0-65,Bayern,219811
2000,0-65,Berlin,67918
2000,0-65,Brandenburg,49613
2000,0-65,Bremen,10591
2000,0-65,Hamburg,32037
2000,0-65,Hessen,111023
2000,0-65,Mecklenburg-Vorpommern,33016
2000,0-65,Niedersachsen,137716
2000,0-65,Nordrhein-Westfalen,317017
2000,0-65,Rheinland-Pfalz,71282
2000,0-65,Saarland,18681
2000,0-65,Sachsen,73562
2000,0-65,Sachsen-Anhalt,45608
2000,0-65,Schleswig-Holstein,48407
2000,0-65,Thüringen,41865
2000,0-65,Baden-Württemberg,184528
2000,0-65,Bayern,213519
2000,0-65,Berlin,64622
2000,0-65,Brandenburg,49863
2000,0-65,Bremen,10676
2000,0-65,Hamburg,29996
2000,0-65,Hessen,106561
2000,0-65,Mecklenburg-Vorpommern,32881
2000,0-65,Niedersachsen,133250
2000,0-65,Nordrhein-Westfalen,304896
2000,0-65,Rheinland-Pfalz,69151
2000,0-65,Saarland,18313
2000,0-65,Sachsen,72433
2000,0-65,Sachsen-Anhalt,44973
2000,0-65,Schleswig-Holstein,46739
2000,0-65,Thüringen,41689
2000,0-65,Baden-Württemberg,181620
2000,0-65,Bayern,210560
2000,0-65,Berlin,61084
2000,0-65,Brandenburg,49614
2000,0-65,Bremen,10296
2000,0-65,Hamburg,28333
2000,0-65,Hessen,103625
2000,0-65,Mecklenburg-Vorpommern,33517
2000,0-65,Niedersachsen,132114
2000,0-65,Nordrhein-Westfalen,299890
2000,0-65,Rheinland-Pfalz,68993
2000,0-65,Saarland,18528
2000,0-65,Sachsen,72540
2000,0-65,Sachsen-Anhalt,45008
2000,0-65,Schleswig-Holstein,45507
2000,0-65,Thüringen,42759
2000,0-65,Baden-Württemberg,176384
2000,0-65,Bayern,203374
2000,0-65,Berlin,58167
2000,0-65,Brandenburg,48139
2000,0-65,Bremen,10068
2000,0-65,Hamburg,28043
2000,0-65,Hessen,101129
2000,0-65,Mecklenburg-Vorpommern,32823
2000,0-65,Niedersachsen,128115
2000,0-65,Nordrhein-Westfalen,296584
2000,0-65,Rheinland-Pfalz,68141
2000,0-65,Saarland,17934
2000,0-65,Sachsen,69713
2000,0-65,Sachsen-Anhalt,43706
2000,0-65,Schleswig-Holstein,43836
2000,0-65,Thüringen,41166
2000,0-65,Baden-Württemberg,168628
2000,0-65,Bayern,196648
2000,0-65,Berlin,55784
2000,0-65,Brandenburg,47147
2000,0-65,Bremen,9850
2000,0-65,Hamburg,26071
2000,0-65,Hessen,97857
2000,0-65,Mecklenburg-Vorpommern,32073
2000,0-65,Niedersachsen,123723
2000,0-65,Nordrhein-Westfalen,288028
2000,0-65,Rheinland-Pfalz,66110
2000,0-65,Saarland,18267
2000,0-65,Sachsen,69283
2000,0-65,Sachsen-Anhalt,42829
2000,0-65,Schleswig-Holstein,42385
2000,0-65,Thüringen,40783
2000,0-65,Baden-Württemberg,161774
2000,0-65,Bayern,187834
2000,0-65,Berlin,51018
2000,0-65,Brandenburg,43628
2000,0-65,Bremen,9580
2000,0-65,Hamburg,25033
2000,0-65,Hessen,93842
2000,0-65,Mecklenburg-Vorpommern,30303
2000,0-65,Niedersachsen,117364
2000,0-65,Nordrhein-Westfalen,276149
2000,0-65,Rheinland-Pfalz,62915
2000,0-65,Saarland,17773
2000,0-65,Sachsen,64153
2000,0-65,Sachsen-Anhalt,40444
2000,0-65,Schleswig-Holstein,40143
2000,0-65,Thüringen,38143
2000,0-65,Baden-Württemberg,157514
2000,0-65,Bayern,183427
2000,0-65,Berlin,49200
2000,0-65,Brandenburg,42485
2000,0-65,Bremen,9483
2000,0-65,Hamburg,23919
2000,0-65,Hessen,91844
2000,0-65,Mecklenburg-Vorpommern,29662
2000,0-65,Niedersachsen,115913
2000,0-65,Nordrhein-Westfalen,272211
2000,0-65,Rheinland-Pfalz,62660
2000,0-65,Saarland,17202
2000,0-65,Sachsen,64075
2000,0-65,Sachsen-Anhalt,40014
2000,0-65,Schleswig-Holstein,39675
2000,0-65,Thüringen,38073
2000,0-65,Baden-Württemberg,154679
2000,0-65,Bayern,176992
2000,0-65,Berlin,48454
2000,0-65,Brandenburg,42371
2000,0-65,Bremen,9247
2000,0-65,Hamburg,22888
2000,0-65,Hessen,89225
2000,0-65,Mecklenburg-Vorpommern,29751
2000,0-65,Niedersachsen,112276
2000,0-65,Nordrhein-Westfalen,263683
2000,0-65,Rheinland-Pfalz,60539
2000,0-65,Saarland,16710
2000,0-65,Sachsen,65168
