jahr	woche	altersgruppe	tote100kWeighted	baseline	excess
2020	12	35-40	0.07467961521853847	0.08396799928826619	-0.11061814201193776
2020	12	40-45	0.15898123876717812	0.18515446584766998	-0.14135887547009018
2020	12	45-50	0.40244902832922275	0.35709586464738435	0.1270055695733765
2020	12	50-55	0.5190479206779356	0.5286324825941462	-0.018130860724215214
2020	12	55-60	0.6849105228557623	0.7821767975838537	-0.12435331120604354
2020	12	60-65	1.0455179869205555	1.0626633191167187	-0.016134303205661005
2020	12	65-70	1.480142918681457	1.396120137066194	0.06018305974142635
2020	12	70-75	2.405974382601869	2.715785725446144	-0.1140779774860109
2020	12	75-80	3.0599475560583707	2.8569958283733983	0.0710367602463462
2020	12	80-85	3.218425393358756	3.4970806106881454	-0.07968224023139014
2020	12	85	7.180631690797675	7.849779375676642	-0.08524413908400919
2020	13	0-30	0.16142418473862769	0.19743228021916073	-0.1823820068357721
2020	13	30-35	0.04672718902049206	0.06014902680632643	-0.22314305814209234
2020	13	35-40	0.09028431093584502	0.08284009167187416	0.08986251842232473
2020	13	40-45	0.17612627432050126	0.17786534954261263	-0.009777481823095124
2020	13	45-50	0.3143593268494358	0.35033248129469363	-0.10268289800681607
2020	13	50-55	0.5214398465796772	0.5026766739644752	0.03732652336385911
